GENE.SET	NR.GENES	NR.SIG.GENES	P.VALUE
REGULATION OF BETA-CELL DEVELOPMENT%REACTOME DATABASE ID RELEASE 65%186712	10	2	0.967
PROTEIN METHYLATION%REACTOME%R-HSA-8876725.2	10	2	0.967
PROLACTIN RECEPTOR SIGNALING%REACTOME DATABASE ID RELEASE 65%1170546	10	2	0.967
CLASS C 3 (METABOTROPIC GLUTAMATE PHEROMONE RECEPTORS)%REACTOME%R-HSA-420499.1	10	2	0.967
PRESYNAPTIC DEPOLARIZATION AND CALCIUM CHANNEL OPENING%REACTOME DATABASE ID RELEASE 65%112308	10	2	0.967
ENOS ACTIVATION%REACTOME DATABASE ID RELEASE 65%203615	10	2	0.967
MAGNESIUM ION TRANSPORT%GOBP%GO:0015693	10	2	0.967
INSULIN-LIKE GROWTH FACTOR RECEPTOR SIGNALING PATHWAY%GOBP%GO:0048009	10	2	0.967
EPITHELIAL CELL MORPHOGENESIS%GOBP%GO:0003382	10	2	0.967
POSITIVE REGULATION OF TRANSCRIPTION FROM RNA POLYMERASE II PROMOTER IN RESPONSE TO ENDOPLASMIC RETICULUM STRESS%GOBP%GO:1990440	10	2	0.967
NEGATIVE REGULATION OF ENDOPLASMIC RETICULUM UNFOLDED PROTEIN RESPONSE%GOBP%GO:1900102	10	2	0.967
CENTRIOLE-CENTRIOLE COHESION%GOBP%GO:0010457	10	2	0.967
POSITIVE REGULATION OF BRANCHING INVOLVED IN URETERIC BUD MORPHOGENESIS%GOBP%GO:0090190	10	2	0.967
MICROTUBULE ANCHORING AT MICROTUBULE ORGANIZING CENTER%GOBP%GO:0072393	10	2	0.967
REGULATION OF HISTONE H4 ACETYLATION%GOBP%GO:0090239	10	2	0.967
DNA-TEMPLATED TRANSCRIPTIONAL PREINITIATION COMPLEX ASSEMBLY%GOBP%GO:0070897	10	2	0.967
POSITIVE REGULATION OF LAMELLIPODIUM ASSEMBLY%GOBP%GO:0010592	10	2	0.967
REGULATION OF INTEGRIN-MEDIATED SIGNALING PATHWAY%GOBP%GO:2001044	10	2	0.967
POSITIVE REGULATION OF RECEPTOR BIOSYNTHETIC PROCESS%GOBP%GO:0010870	10	2	0.967
POSITIVE REGULATION OF T CELL MEDIATED CYTOTOXICITY%GOBP%GO:0001916	10	2	0.967
DNA DEALKYLATION INVOLVED IN DNA REPAIR%GOBP%GO:0006307	10	2	0.967
HISTONE H2B UBIQUITINATION%GOBP%GO:0033523	10	2	0.967
3'-UTR-MEDIATED MRNA DESTABILIZATION%GOBP%GO:0061158	10	2	0.967
GLUTAMATE SECRETION%GOBP%GO:0014047	10	2	0.967
LIPID BIOSYNTHETIC PROCESS%GOBP%GO:0008610	378	144	0.968
GLYCEROPHOSPHOLIPID BIOSYNTHETIC PROCESS%GOBP%GO:0046474	157	56	0.968
PURINE-CONTAINING COMPOUND BIOSYNTHETIC PROCESS%GOBP%GO:0072522	139	49	0.968
RAS PATHWAY%PANTHER PATHWAY%P04393	68	22	0.968
MITOPHAGY%REACTOME DATABASE ID RELEASE 65%5205647	26	7	0.968
TRANSCRIPTION BY RNA POLYMERASE III%GOBP%GO:0006383	26	7	0.968
BIOCARTA_CTCF_PATHWAY%MSIGDB_C2%BIOCARTA_CTCF_PATHWAY	23	6	0.968
BIOCARTA_P53HYPOXIA_PATHWAY%MSIGDB_C2%BIOCARTA_P53HYPOXIA_PATHWAY	23	6	0.968
DOWNREGULATION OF SMAD2 3:SMAD4 TRANSCRIPTIONAL ACTIVITY%REACTOME%R-HSA-2173795.1	23	6	0.968
RESPONSE TO MISFOLDED PROTEIN%GOBP%GO:0051788	23	6	0.968
MONOCARBOXYLIC ACID METABOLIC PROCESS%GOBP%GO:0032787	291	109	0.969
HALLMARK_HEME_METABOLISM%MSIGDB_C2%HALLMARK_HEME_METABOLISM	170	61	0.969
CELL-CELL SIGNALING BY WNT%GOBP%GO:0198738	134	47	0.969
WNT SIGNALING PATHWAY%GOBP%GO:0016055	134	47	0.969
PID_AR_TF_PATHWAY%MSIGDB_C2%PID_AR_TF_PATHWAY	49	15	0.969
REGULATION OF ANDROGEN RECEPTOR ACTIVITY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%REGULATION OF ANDROGEN RECEPTOR ACTIVITY	49	15	0.969
ST_G_ALPHA_I_PATHWAY%MSIGDB_C2%ST_G_ALPHA_I_PATHWAY	32	9	0.969
CD40 CD40L SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%CD40 CD40L SIGNALING	32	9	0.969
REGULATION OF MITOTIC SPINDLE ORGANIZATION%GOBP%GO:0060236	32	9	0.969
POSITIVE REGULATION OF CYTOKINE-MEDIATED SIGNALING PATHWAY%GOBP%GO:0001961	29	8	0.969
PID_P38_MK2_PATHWAY%MSIGDB_C2%PID_P38_MK2_PATHWAY	20	5	0.969
PID_WNT_CANONICAL_PATHWAY%MSIGDB_C2%PID_WNT_CANONICAL_PATHWAY	20	5	0.969
P38 SIGNALING MEDIATED BY MAPKAP KINASES%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%P38 SIGNALING MEDIATED BY MAPKAP KINASES	20	5	0.969
CANONICAL WNT SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%CANONICAL WNT SIGNALING PATHWAY	20	5	0.969
PROTEIN K48-LINKED DEUBIQUITINATION%GOBP%GO:0071108	20	5	0.969
SEMAPHORIN-PLEXIN SIGNALING PATHWAY%GOBP%GO:0071526	20	5	0.969
POSITIVE REGULATION OF GLIOGENESIS%GOBP%GO:0014015	20	5	0.969
GLUTAMATE METABOLIC PROCESS%GOBP%GO:0006536	20	5	0.969
POSITIVE REGULATION OF NEUROLOGICAL SYSTEM PROCESS%GOBP%GO:0031646	20	5	0.969
NLS-BEARING PROTEIN IMPORT INTO NUCLEUS%GOBP%GO:0006607	20	5	0.969
CELL SURFACE RECEPTOR SIGNALING PATHWAY INVOLVED IN CELL-CELL SIGNALING%GOBP%GO:1905114	147	52	0.97
MEMBRANE FUSION%GOBP%GO:0061025	129	45	0.97
PID_MET_PATHWAY%MSIGDB_C2%PID_MET_PATHWAY	79	26	0.97
RUNX1 INTERACTS WITH CO-FACTORS WHOSE PRECISE EFFECT ON RUNX1 TARGETS IS NOT KNOWN%REACTOME DATABASE ID RELEASE 65%8939243	35	10	0.97
VIRION ASSEMBLY%GOBP%GO:0019068	35	10	0.97
REGULATION OF SPINDLE ORGANIZATION%GOBP%GO:0090224	35	10	0.97
GLUTAMINE FAMILY AMINO ACID METABOLIC PROCESS%GOBP%GO:0009064	35	10	0.97
POSITIVE REGULATION OF CELLULAR CATABOLIC PROCESS%GOBP%GO:0031331	259	96	0.971
BRAIN DEVELOPMENT%GOBP%GO:0007420	234	86	0.971
RIBOSE PHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0046390	124	43	0.971
PID_RAC1_PATHWAY%MSIGDB_C2%PID_RAC1_PATHWAY	52	16	0.971
RAC1 SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%RAC1 SIGNALING PATHWAY	52	16	0.971
PROTEIN HETEROOLIGOMERIZATION%GOBP%GO:0051291	52	16	0.971
PURINE RIBONUCLEOSIDE METABOLIC PROCESS%GOBP%GO:0046128	38	11	0.971
PROTEIN DEACETYLATION%GOBP%GO:0006476	38	11	0.971
ST_WNT_CA2_CYCLIC_GMP_PATHWAY%MSIGDB_C2%ST_WNT_CA2_CYCLIC_GMP_PATHWAY	17	4	0.971
GLUTAMATE NEUROTRANSMITTER RELEASE CYCLE%REACTOME DATABASE ID RELEASE 65%210500	17	4	0.971
POSITIVE REGULATION BY HOST OF VIRAL TRANSCRIPTION%GOBP%GO:0043923	17	4	0.971
NON-MOTILE CILIUM ASSEMBLY%GOBP%GO:1905515	17	4	0.971
MRNA DESTABILIZATION%GOBP%GO:0061157	17	4	0.971
DEVELOPMENTAL PIGMENTATION%GOBP%GO:0048066	17	4	0.971
PLASMA MEMBRANE FUSION%GOBP%GO:0045026	17	4	0.971
RNA DESTABILIZATION%GOBP%GO:0050779	17	4	0.971
LEUKOCYTE MEDIATED CYTOTOXICITY%GOBP%GO:0001909	17	4	0.971
ACIDIC AMINO ACID TRANSPORT%GOBP%GO:0015800	17	4	0.971
POSITIVE REGULATION OF MEMBRANE PERMEABILITY%GOBP%GO:1905710	17	4	0.971
MEIOSIS%REACTOME DATABASE ID RELEASE 65%1500620	74	24	0.972
INTERACTION WITH SYMBIONT%GOBP%GO:0051702	55	17	0.972
ERBB2 ERBB3 SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ERBB2 ERBB3 SIGNALING EVENTS	41	12	0.972
PI3 KINASE PATHWAY%PANTHER PATHWAY%P00048	41	12	0.972
NEGATIVE REGULATION OF CELL MORPHOGENESIS INVOLVED IN DIFFERENTIATION%GOBP%GO:0010771	41	12	0.972
HEAD DEVELOPMENT%GOBP%GO:0060322	250	92	0.974
POSITIVE REGULATION OF PROTEIN MODIFICATION BY SMALL PROTEIN CONJUGATION OR REMOVAL%GOBP%GO:1903322	101	34	0.974
RESPONSE TO INSULIN%GOBP%GO:0032868	101	34	0.974
RUNX1 REGULATES GENES INVOLVED IN MEGAKARYOCYTE DIFFERENTIATION AND PLATELET FUNCTION%REACTOME DATABASE ID RELEASE 65%8936459	58	18	0.974
PID_INSULIN_PATHWAY%MSIGDB_C2%PID_INSULIN_PATHWAY	44	13	0.974
PID_TCR_JNK_PATHWAY%MSIGDB_C2%PID_TCR_JNK_PATHWAY	14	3	0.974
BIOCARTA_HIF_PATHWAY%MSIGDB_C2%BIOCARTA_HIF_PATHWAY	14	3	0.974
JNK SIGNALING IN THE CD4+ TCR PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%JNK SIGNALING IN THE CD4+ TCR PATHWAY	14	3	0.974
GLYCOGEN BREAKDOWN (GLYCOGENOLYSIS)%REACTOME%R-HSA-70221.3	14	3	0.974
REGULATION OF VENTRICULAR CARDIAC MUSCLE CELL ACTION POTENTIAL%GOBP%GO:0098911	14	3	0.974
FATTY ACID BETA-OXIDATION USING ACYL-COA OXIDASE%GOBP%GO:0033540	14	3	0.974
POLYAMINE METABOLIC PROCESS%GOBP%GO:0006595	14	3	0.974
GLUTAMINE FAMILY AMINO ACID BIOSYNTHETIC PROCESS%GOBP%GO:0009084	14	3	0.974
POSITIVE REGULATION OF NEURAL PRECURSOR CELL PROLIFERATION%GOBP%GO:2000179	14	3	0.974
POSITIVE REGULATION OF EXOSOMAL SECRETION%GOBP%GO:1903543	14	3	0.974
REGULATION OF PROTEIN HOMODIMERIZATION ACTIVITY%GOBP%GO:0043496	14	3	0.974
REGULATION OF PROTEIN SUMOYLATION%GOBP%GO:0033233	14	3	0.974
REGULATION OF RIG-I SIGNALING PATHWAY%GOBP%GO:0039535	14	3	0.974
ENDOSOME TRANSPORT VIA MULTIVESICULAR BODY SORTING PATHWAY%GOBP%GO:0032509	14	3	0.974
NEGATIVE REGULATION OF INTRINSIC APOPTOTIC SIGNALING PATHWAY BY P53 CLASS MEDIATOR%GOBP%GO:1902254	14	3	0.974
NEGATIVE REGULATION OF TRANSPOSITION%GOBP%GO:0010529	14	3	0.974
REGULATION OF TRANSPOSITION%GOBP%GO:0010528	14	3	0.974
APOPTOSIS SIGNALING PATHWAY%PANTHER PATHWAY%P00006	104	35	0.975
MODIFICATION OF MORPHOLOGY OR PHYSIOLOGY OF OTHER ORGANISM INVOLVED IN SYMBIOTIC INTERACTION%GOBP%GO:0051817	80	26	0.975
POSITIVE REGULATION OF UBIQUITIN-DEPENDENT PROTEIN CATABOLIC PROCESS%GOBP%GO:2000060	80	26	0.975
PID_CERAMIDE_PATHWAY%MSIGDB_C2%PID_CERAMIDE_PATHWAY	47	14	0.975
HEDGEHOG SIGNALING EVENTS MEDIATED BY GLI PROTEINS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%HEDGEHOG SIGNALING EVENTS MEDIATED BY GLI PROTEINS	47	14	0.975
ACTIVATION OF RRNA EXPRESSION BY ERCC6 (CSB) AND EHMT2 (G9A)%REACTOME DATABASE ID RELEASE 65%427389	47	14	0.975
MONOSACCHARIDE CATABOLIC PROCESS%GOBP%GO:0046365	47	14	0.975
CORNIFICATION%GOBP%GO:0070268	47	14	0.975
GLYCEROLIPID BIOSYNTHETIC PROCESS%GOBP%GO:0045017	164	58	0.976
PROTEIN IMPORT INTO NUCLEUS%GOBP%GO:0006606	72	23	0.976
VESICLE LOCALIZATION%GOBP%GO:0051648	172	61	0.977
REGULATION OF INTRACELLULAR PROTEIN TRANSPORT%GOBP%GO:0033157	154	54	0.977
NEGATIVE REGULATION OF TRANSLATION%GOBP%GO:0017148	83	27	0.977
P75(NTR)-MEDIATED SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%P75(NTR)-MEDIATED SIGNALING	64	20	0.977
TRANSFERRIN TRANSPORT%GOBP%GO:0033572	33	9	0.977
PID_AR_NONGENOMIC_PATHWAY%MSIGDB_C2%PID_AR_NONGENOMIC_PATHWAY	30	8	0.977
NONGENOTROPIC ANDROGEN SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%NONGENOTROPIC ANDROGEN SIGNALING	30	8	0.977
REGULATION OF CARBOHYDRATE CATABOLIC PROCESS%GOBP%GO:0043470	30	8	0.977
NEGATIVE REGULATION OF TELOMERE MAINTENANCE%GOBP%GO:0032205	30	8	0.977
ST_GAQ_PATHWAY%MSIGDB_C2%ST_GAQ_PATHWAY	27	7	0.977
PID_CD40_PATHWAY%MSIGDB_C2%PID_CD40_PATHWAY	27	7	0.977
PID_REELIN_PATHWAY%MSIGDB_C2%PID_REELIN_PATHWAY	27	7	0.977
DISASSEMBLY OF THE DESTRUCTION COMPLEX AND RECRUITMENT OF AXIN TO THE MEMBRANE%REACTOME DATABASE ID RELEASE 65%4641262	27	7	0.977
SYNTHESIS OF PC%REACTOME%R-HSA-1483191.4	27	7	0.977
CONSTITUTIVE SIGNALING BY AKT1 E17K IN CANCER%REACTOME DATABASE ID RELEASE 65%5674400	24	6	0.977
DEADENYLATION OF MRNA%REACTOME DATABASE ID RELEASE 65%429947	24	6	0.977
REGULATION OF NUCLEOTIDE CATABOLIC PROCESS%GOBP%GO:0030811	24	6	0.977
RESPONSE TO AMINO ACID%GOBP%GO:0043200	24	6	0.977
REGULATION OF GLYCOLYTIC PROCESS%GOBP%GO:0006110	24	6	0.977
PROTEIN LOCALIZATION TO MICROTUBULE CYTOSKELETON%GOBP%GO:0072698	24	6	0.977
GLYCEROPHOSPHOLIPID BIOSYNTHESIS%REACTOME%R-HSA-1483206.4	110	37	0.978
ERBB1 DOWNSTREAM SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ERBB1 DOWNSTREAM SIGNALING	102	34	0.978
PID_CDC42_PATHWAY%MSIGDB_C2%PID_CDC42_PATHWAY	67	21	0.978
CDC42 SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%CDC42 SIGNALING EVENTS	67	21	0.978
PID_ECADHERIN_NASCENT_AJ_PATHWAY%MSIGDB_C2%PID_ECADHERIN_NASCENT_AJ_PATHWAY	39	11	0.978
SIRT1 NEGATIVELY REGULATES RRNA EXPRESSION%REACTOME DATABASE ID RELEASE 65%427359	39	11	0.978
HEXOSE CATABOLIC PROCESS%GOBP%GO:0019320	39	11	0.978
DEMETHYLATION%GOBP%GO:0070988	39	11	0.978
E-CADHERIN SIGNALING IN THE NASCENT ADHERENS JUNCTION%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%E-CADHERIN SIGNALING IN THE NASCENT ADHERENS JUNCTION	36	10	0.978
METABOTROPIC GLUTAMATE RECEPTOR GROUP II PATHWAY%PANTHER PATHWAY%P00040	36	10	0.978
FERRIC IRON TRANSPORT%GOBP%GO:0015682	36	10	0.978
SUBSTANTIA NIGRA DEVELOPMENT%GOBP%GO:0021762	36	10	0.978
TRIVALENT INORGANIC CATION TRANSPORT%GOBP%GO:0072512	36	10	0.978
BIOCARTA_NFKB_PATHWAY%MSIGDB_C2%BIOCARTA_NFKB_PATHWAY	21	5	0.978
PINK PARKIN MEDIATED MITOPHAGY%REACTOME%R-HSA-5205685.1	21	5	0.978
VIRAL GENOME REPLICATION%GOBP%GO:0019079	21	5	0.978
REGULATION OF CYTOPLASMIC TRANSPORT%GOBP%GO:1903649	21	5	0.978
EARLY ENDOSOME TO LATE ENDOSOME TRANSPORT%GOBP%GO:0045022	21	5	0.978
PROTEIN PALMITOYLATION%GOBP%GO:0018345	21	5	0.978
PROTEIN EXIT FROM ENDOPLASMIC RETICULUM%GOBP%GO:0032527	21	5	0.978
CHROMATIN SILENCING AT RDNA%GOBP%GO:0000183	21	5	0.978
BILE ACID BIOSYNTHETIC PROCESS%GOBP%GO:0006699	21	5	0.978
ESTABLISHMENT OF VESICLE LOCALIZATION%GOBP%GO:0051650	170	60	0.979
NEGATIVE REGULATION OF CELLULAR CATABOLIC PROCESS%GOBP%GO:0031330	165	58	0.979
POSITIVE REGULATION OF CHROMOSOME ORGANIZATION%GOBP%GO:2001252	126	43	0.979
ESR-MEDIATED SIGNALING%REACTOME DATABASE ID RELEASE 65%8939211	118	40	0.979
SIGNALING EVENTS MEDIATED BY HEPATOCYTE GROWTH FACTOR RECEPTOR (C-MET)%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY HEPATOCYTE GROWTH FACTOR RECEPTOR (C-MET)	78	25	0.979
POSITIVE REGULATION OF PROTEASOMAL UBIQUITIN-DEPENDENT PROTEIN CATABOLIC PROCESS%GOBP%GO:0032436	70	22	0.979
PRE-NOTCH TRANSCRIPTION AND TRANSLATION%REACTOME DATABASE ID RELEASE 65%1912408	59	18	0.979
GLUCOSE METABOLIC PROCESS%GOBP%GO:0006006	59	18	0.979
INSULIN PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%INSULIN PATHWAY	42	12	0.979
PNAT%PANTHER PATHWAY%P05912	42	12	0.979
OLEATE BIOSYNTHESIS II (ANIMALS)%HUMANCYC%PWY-5996	7	1	0.979
TNFR1-INDUCED PROAPOPTOTIC SIGNALING%REACTOME%R-HSA-5357786.2	7	1	0.979
BETA-OXIDATION OF VERY LONG CHAIN FATTY ACIDS%REACTOME DATABASE ID RELEASE 65%390247	7	1	0.979
ACTIVATION OF THE PHOTOTRANSDUCTION CASCADE%REACTOME%R-HSA-2485179.1	7	1	0.979
GLYCEROPHOSPHOLIPID CATABOLISM%REACTOME%R-HSA-6814848.1	7	1	0.979
BINDING OF TCF LEF:CTNNB1 TO TARGET GENE PROMOTERS%REACTOME%R-HSA-4411364.2	7	1	0.979
TRANSPORT OF ORGANIC ANIONS%REACTOME%R-HSA-879518.1	7	1	0.979
INTERLEUKIN-23 SIGNALING%REACTOME DATABASE ID RELEASE 65%9020933	7	1	0.979
CHREBP ACTIVATES METABOLIC GENE EXPRESSION%REACTOME%R-HSA-163765.2	7	1	0.979
UREA CYCLE%REACTOME DATABASE ID RELEASE 65%70635	7	1	0.979
ATTACHMENT OF GPI ANCHOR TO UPAR%REACTOME%R-HSA-162791.2	7	1	0.979
SEMA4D MEDIATED INHIBITION OF CELL ATTACHMENT AND MIGRATION%REACTOME DATABASE ID RELEASE 65%416550	7	1	0.979
CERAMIDE CATABOLIC PROCESS%GOBP%GO:0046514	7	1	0.979
RIBOSOMAL PROTEIN IMPORT INTO NUCLEUS%GOBP%GO:0006610	7	1	0.979
HISTONE H4 DEACETYLATION%GOBP%GO:0070933	7	1	0.979
SMAD PROTEIN COMPLEX ASSEMBLY%GOBP%GO:0007183	7	1	0.979
POLYKETIDE METABOLIC PROCESS%GOBP%GO:0030638	7	1	0.979
REGULATION OF CYTOPLASMIC MRNA PROCESSING BODY ASSEMBLY%GOBP%GO:0010603	7	1	0.979
UREA METABOLIC PROCESS%GOBP%GO:0019627	7	1	0.979
VACUOLAR PROTON-TRANSPORTING V-TYPE ATPASE COMPLEX ASSEMBLY%GOBP%GO:0070072	7	1	0.979
CEREBELLAR CORTEX FORMATION%GOBP%GO:0021697	7	1	0.979
POLYPRENOL METABOLIC PROCESS%GOBP%GO:0016093	7	1	0.979
REGULATION OF INTRACELLULAR STEROL TRANSPORT%GOBP%GO:0032380	7	1	0.979
NUCLEAR-TRANSCRIBED MRNA CATABOLIC PROCESS, DEADENYLATION-INDEPENDENT DECAY%GOBP%GO:0031086	7	1	0.979
MOLYBDOPTERIN COFACTOR METABOLIC PROCESS%GOBP%GO:0043545	7	1	0.979
PEPTIDYL-LYSINE DEACETYLATION%GOBP%GO:0034983	7	1	0.979
PEPTIDYL-SERINE AUTOPHOSPHORYLATION%GOBP%GO:0036289	7	1	0.979
POSITIVE REGULATION OF MRNA BINDING%GOBP%GO:1902416	7	1	0.979
DEATH-INDUCING SIGNALING COMPLEX ASSEMBLY%GOBP%GO:0071550	7	1	0.979
FATTY ACID ELONGATION, UNSATURATED FATTY ACID%GOBP%GO:0019368	7	1	0.979
NEURON PROJECTION MAINTENANCE%GOBP%GO:1990535	7	1	0.979
MUSCLE CELL PROLIFERATION%GOBP%GO:0033002	7	1	0.979
REGULATION OF MRNA BINDING%GOBP%GO:1902415	7	1	0.979
POSITIVE REGULATION OF MONOCYTE DIFFERENTIATION%GOBP%GO:0045657	7	1	0.979
CELL DIFFERENTIATION IN HINDBRAIN%GOBP%GO:0021533	7	1	0.979
PROTON-TRANSPORTING V-TYPE ATPASE COMPLEX ASSEMBLY%GOBP%GO:0070070	7	1	0.979
INTERLEUKIN-23-MEDIATED SIGNALING PATHWAY%GOBP%GO:0038155	7	1	0.979
NEGATIVE REGULATION OF MONOOXYGENASE ACTIVITY%GOBP%GO:0032769	7	1	0.979
AMINOGLYCOSIDE ANTIBIOTIC METABOLIC PROCESS%GOBP%GO:0030647	7	1	0.979
NEGATIVE REGULATION OF RIG-I SIGNALING PATHWAY%GOBP%GO:0039536	7	1	0.979
REGULATION OF INTRACELLULAR CHOLESTEROL TRANSPORT%GOBP%GO:0032383	7	1	0.979
FATTY ACID ELONGATION, MONOUNSATURATED FATTY ACID%GOBP%GO:0034625	7	1	0.979
PROSTHETIC GROUP METABOLIC PROCESS%GOBP%GO:0051189	7	1	0.979
NEGATIVE REGULATION OF DENDRITE MORPHOGENESIS%GOBP%GO:0050774	7	1	0.979
REGULATION OF PROTEIN ADP-RIBOSYLATION%GOBP%GO:0010835	7	1	0.979
REGULATION OF URINE VOLUME%GOBP%GO:0035809	7	1	0.979
NITROGEN CYCLE METABOLIC PROCESS%GOBP%GO:0071941	7	1	0.979
UREA CYCLE%GOBP%GO:0000050	7	1	0.979
KINETOCHORE ASSEMBLY%GOBP%GO:0051382	7	1	0.979
REGULATION OF EPITHELIAL TUBE FORMATION%GOBP%GO:1905276	7	1	0.979
ASYMMETRIC STEM CELL DIVISION%GOBP%GO:0098722	7	1	0.979
FATTY ACID ELONGATION, POLYUNSATURATED FATTY ACID%GOBP%GO:0034626	7	1	0.979
DOXORUBICIN METABOLIC PROCESS%GOBP%GO:0044598	7	1	0.979
NEGATIVE REGULATION OF TELOMERE CAPPING%GOBP%GO:1904354	7	1	0.979
FATTY ACID ELONGATION, SATURATED FATTY ACID%GOBP%GO:0019367	7	1	0.979
POSITIVE REGULATION OF PROTEIN HOMODIMERIZATION ACTIVITY%GOBP%GO:0090073	7	1	0.979
REGULATION OF INTRACELLULAR LIPID TRANSPORT%GOBP%GO:0032377	7	1	0.979
DAUNORUBICIN METABOLIC PROCESS%GOBP%GO:0044597	7	1	0.979
OLIGOSACCHARIDE CATABOLIC PROCESS%GOBP%GO:0009313	7	1	0.979
THIAMINE-CONTAINING COMPOUND METABOLIC PROCESS%GOBP%GO:0042723	7	1	0.979
GLYCOSPHINGOLIPID CATABOLIC PROCESS%GOBP%GO:0046479	7	1	0.979
NEGATIVE REGULATION BY HOST OF VIRAL PROCESS%GOBP%GO:0044793	7	1	0.979
REGULATION OF CHOLESTEROL METABOLIC PROCESS%GOBP%GO:0090181	45	13	0.98
BIOCARTA_TEL_PATHWAY%MSIGDB_C2%BIOCARTA_TEL_PATHWAY	18	4	0.98
BIOCARTA_MAL_PATHWAY%MSIGDB_C2%BIOCARTA_MAL_PATHWAY	18	4	0.98
BIOCARTA_ACTINY_PATHWAY%MSIGDB_C2%BIOCARTA_ACTINY_PATHWAY	18	4	0.98
MELANOSOME ORGANIZATION%GOBP%GO:0032438	18	4	0.98
PIGMENT GRANULE ORGANIZATION%GOBP%GO:0048753	18	4	0.98
&GAMMA;-GLUTAMYL CYCLE%HUMANCYC%PWY-4041	11	2	0.98
FORMATION OF SENESCENCE-ASSOCIATED HETEROCHROMATIN FOCI (SAHF)%REACTOME%R-HSA-2559584.1	11	2	0.98
RHO GTPASES ACTIVATE KTN1%REACTOME DATABASE ID RELEASE 65%5625970	11	2	0.98
NEGATIVE REGULATION OF INTRINSIC APOPTOTIC SIGNALING PATHWAY IN RESPONSE TO DNA DAMAGE BY P53 CLASS MEDIATOR%GOBP%GO:1902166	11	2	0.98
ADULT LOCOMOTORY BEHAVIOR%GOBP%GO:0008344	11	2	0.98
REGULATION OF RHODOPSIN MEDIATED SIGNALING PATHWAY%GOBP%GO:0022400	11	2	0.98
RETINA LAYER FORMATION%GOBP%GO:0010842	11	2	0.98
HISTONE H3-K9 DEMETHYLATION%GOBP%GO:0033169	11	2	0.98
PEPTIDYL-SERINE DEPHOSPHORYLATION%GOBP%GO:0070262	11	2	0.98
PURINE NUCLEOBASE BIOSYNTHETIC PROCESS%GOBP%GO:0009113	11	2	0.98
GLUTATHIONE BIOSYNTHETIC PROCESS%GOBP%GO:0006750	11	2	0.98
MAINTENANCE OF GASTROINTESTINAL EPITHELIUM%GOBP%GO:0030277	11	2	0.98
HALLMARK_PI3K_AKT_MTOR_SIGNALING%MSIGDB_C2%HALLMARK_PI3K_AKT_MTOR_SIGNALING	100	33	0.981
MAP KINASE ACTIVATION%REACTOME DATABASE ID RELEASE 65%450294	62	19	0.981
RHO GTPASES ACTIVATE PKNS%REACTOME%R-HSA-5625740.1	62	19	0.981
VESICLE TARGETING, TO, FROM OR WITHIN GOLGI%GOBP%GO:0048199	62	19	0.981
NONHOMOLOGOUS END-JOINING (NHEJ)%REACTOME DATABASE ID RELEASE 65%5693571	51	15	0.981
KERATINIZATION%REACTOME DATABASE ID RELEASE 65%6805567	48	14	0.981
REGULATION OF COFACTOR METABOLIC PROCESS%GOBP%GO:0051193	48	14	0.981
PROTEIN LOCALIZATION TO CHROMOSOME%GOBP%GO:0034502	48	14	0.981
KERATINIZATION%GOBP%GO:0031424	48	14	0.981
ORGANOPHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0090407	366	137	0.982
POSITIVE REGULATION OF CATABOLIC PROCESS%GOBP%GO:0009896	291	107	0.982
REGULATION OF MRNA CATABOLIC PROCESS%GOBP%GO:0061013	111	37	0.982
TRIF(TICAM1)-MEDIATED TLR4 SIGNALING%REACTOME DATABASE ID RELEASE 65%937061	87	28	0.982
TOLL LIKE RECEPTOR 3 (TLR3) CASCADE%REACTOME%R-HSA-168164.3	87	28	0.982
MYD88-INDEPENDENT TLR4 CASCADE%REACTOME DATABASE ID RELEASE 65%166166	87	28	0.982
ACTIVATION OF GTPASE ACTIVITY%GOBP%GO:0090630	76	24	0.982
PID_TELOMERASE_PATHWAY%MSIGDB_C2%PID_TELOMERASE_PATHWAY	65	20	0.982
PID_P75_NTR_PATHWAY%MSIGDB_C2%PID_P75_NTR_PATHWAY	65	20	0.982
